issue_id,identifier,summary,old_project_id,project_id,theme,classification_basis,classification_confidence,classification_state,pm_decision,status,status_category,revision,collected_at,assignee_type,assignee_id,parent_issue_id,source,classification_source,classification_report_source,pm_issue_revision,pm_collected_at,source_comment_collected_at,original_report_decision,original_report_previous_project_id,original_report_after_project_id,original_report_source,historical_revision,historical_collected_at,historical_mutation_log,correction_before_project_id,correction_before_revision,correction_before_collected_at,correction_after_project_id,correction_after_revision,correction_after_collected_at,correction_source
8f51ab79-5931-4334-8261-afd3e13685c9,TES-6,运行Bug Fix for Multica,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,标题直接指定 Multica；描述要求 Issue/workflow 关联与步骤重执行。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,40ea660a-a345-42cf-afe9-6b0a9e5d95e8,none,multica issue get 8f51ab79-5931-4334-8261-afd3e13685c9 --output json,"issue:8f51ab79-5931-4334-8261-afd3e13685c9@revision:2#title,description,parent_issue_id",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-6,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
df8ee1c3-0401-4e71-8d3b-57670085af1d,TES-7,Workflow 阶段 1：持久化模型与模板,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述要求工作流持久化模板与 run/step 快照；parent_issue_id 指向 TES-6。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,4e533014-9a99-484d-901b-3a2fbca4ca7d,8f51ab79-5931-4334-8261-afd3e13685c9,multica issue get df8ee1c3-0401-4e71-8d3b-57670085af1d --output json,"issue:df8ee1c3-0401-4e71-8d3b-57670085af1d@revision:2#title,description,parent_issue_id; issue:8f51ab79-5931-4334-8261-afd3e13685c9@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-7,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
31cf65be-996b-4cb4-b4f7-7a21593c178f,TES-8,Workflow 阶段 2：实例化、子 Issue 与重执行 API,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述要求实例化、子 Issue 和重执行 API；parent_issue_id 指向 TES-6。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,4e533014-9a99-484d-901b-3a2fbca4ca7d,8f51ab79-5931-4334-8261-afd3e13685c9,multica issue get 31cf65be-996b-4cb4-b4f7-7a21593c178f --output json,"issue:31cf65be-996b-4cb4-b4f7-7a21593c178f@revision:2#title,description,parent_issue_id; issue:8f51ab79-5931-4334-8261-afd3e13685c9@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-8,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
dd17a80e-7f8d-46c7-9da0-83dc2de3a45e,TES-9,Workflow 阶段 3：Issue 工作流标签页与模板编辑,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述要求共享 Web/Desktop 工作流界面；parent_issue_id 指向 TES-6。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,ab03af68-37b2-4ca0-baac-d83caa77e221,8f51ab79-5931-4334-8261-afd3e13685c9,multica issue get dd17a80e-7f8d-46c7-9da0-83dc2de3a45e --output json,"issue:dd17a80e-7f8d-46c7-9da0-83dc2de3a45e@revision:2#title,description,parent_issue_id; issue:8f51ab79-5931-4334-8261-afd3e13685c9@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-9,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
436bf9bf-2d0b-4865-8494-192efd10bd2f,TES-10,Workflow 阶段 4：端到端 QA 与回归,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述要求工作流关联端到端回归；parent_issue_id 指向 TES-6。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,990c4532-4637-4c47-9b8d-3b6859f128b0,8f51ab79-5931-4334-8261-afd3e13685c9,multica issue get 436bf9bf-2d0b-4865-8494-192efd10bd2f --output json,"issue:436bf9bf-2d0b-4865-8494-192efd10bd2f@revision:2#title,description,parent_issue_id; issue:8f51ab79-5931-4334-8261-afd3e13685c9@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-10,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
f54917dc-26dc-4dc2-8c41-e70923037e7e,TES-11,Workflow 模板 API：列表、编辑与 Bug Fix 初始化,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述要求 Workflow 模板 API 解除 TES-9 阻塞；父项 TES-9 属 TES-6。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,1e097d23-a47b-491a-ba21-9f9898631979,dd17a80e-7f8d-46c7-9da0-83dc2de3a45e,multica issue get f54917dc-26dc-4dc2-8c41-e70923037e7e --output json,"issue:f54917dc-26dc-4dc2-8c41-e70923037e7e@revision:2#title,description,parent_issue_id; issue:dd17a80e-7f8d-46c7-9da0-83dc2de3a45e@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-11,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
8caed386-0d8e-4820-9dbf-6ee94a608343,TES-12,bug fix copy run,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述要求 Issue/workflow 关联、子步骤菜单和重执行，与 TES-6 需求相符；跨任务关联为推断，未声明父子关系。,medium,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,member,7cc8c2c6-e14e-4b3c-9c5f-3cd7484a296a,none,multica issue get 8caed386-0d8e-4820-9dbf-6ee94a608343 --output json,"issue:8caed386-0d8e-4820-9dbf-6ee94a608343@revision:2#title,description,parent_issue_id; issue:8f51ab79-5931-4334-8261-afd3e13685c9@revision:2#title,description,parent_issue_id",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-12,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
8ba17c22-2424-4137-bf01-7535b0450996,TES-13,工作流的Input加入模式，可以选择图片作为输入。,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,Input 图片模式需求；子项 TES-14 明确指定 Multica 源码且 parent_issue_id 指回本项。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,990c4532-4637-4c47-9b8d-3b6859f128b0,none,multica issue get 8ba17c22-2424-4137-bf01-7535b0450996 --output json,"issue:8ba17c22-2424-4137-bf01-7535b0450996@revision:2#title,description,parent_issue_id; issue:15ee3120-7434-4b8a-a355-b03ebcdd66a7@revision:2#title,description,parent_issue_id",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-13,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
15ee3120-7434-4b8a-a355-b03ebcdd66a7,TES-14,阶段 1：实现 Input 图片模式后端与执行器,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述明确指定 Multica 源码，实施 Input 图片模式后端/执行器。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,4e533014-9a99-484d-901b-3a2fbca4ca7d,8ba17c22-2424-4137-bf01-7535b0450996,multica issue get 15ee3120-7434-4b8a-a355-b03ebcdd66a7 --output json,"issue:15ee3120-7434-4b8a-a355-b03ebcdd66a7@revision:2#title,description,parent_issue_id; issue:8ba17c22-2424-4137-bf01-7535b0450996@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-14,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
b57e3152-4df4-48e5-a29e-4c5139dc360b,TES-15,阶段 2：实现 Input 图片模式 UI,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,工作流与平台能力,描述明确指定 Multica 源码，实施 Input 图片模式 UI。,high,confirmed,retained_in_project,done,done,2,2026-09-14T20:11:40-07:00,agent,ab03af68-37b2-4ca0-baac-d83caa77e221,8ba17c22-2424-4137-bf01-7535b0450996,multica issue get b57e3152-4df4-48e5-a29e-4c5139dc360b --output json,"issue:b57e3152-4df4-48e5-a29e-4c5139dc360b@revision:2#title,description,parent_issue_id; issue:8ba17c22-2424-4137-bf01-7535b0450996@revision:2#title,description",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-15,2,2026-09-14T19:58:39.8473173-07:00,not applicable,moved_to_project,none (PM reported),ac5e9822-777a-44fb-8fa5-fd096eeb4694,TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
