issue_id,identifier,summary,old_project_id,project_id,theme,classification_basis,classification_confidence,classification_state,pm_decision,status,status_category,revision,collected_at,assignee_type,assignee_id,parent_issue_id,source,classification_source,classification_report_source,pm_issue_revision,pm_collected_at,source_comment_collected_at,original_report_decision,original_report_previous_project_id,original_report_after_project_id,original_report_source,historical_revision,historical_collected_at,historical_mutation_log,correction_before_project_id,correction_before_revision,correction_before_collected_at,correction_after_project_id,correction_after_revision,correction_after_collected_at,correction_source
ee6cec07-52eb-4623-9408-0a853119035e,TES-29,列出本地 system OS version,none (PM reported),none,待确认：通用系统查询,标题/描述和系统查询评论仅支持 OS 查询，尚未指明其与 Multica 产品、运行时或项目工作的关联。,low,outside_project_pending,pending_outside,done,done,1,2026-09-14T20:11:40-07:00,agent,5885ea72-27f8-4840-a1e9-9d474b6d2b01,none,multica issue get ee6cec07-52eb-4623-9408-0a853119035e --output json,"issue:ee6cec07-52eb-4623-9408-0a853119035e@revision:1#title,description,parent_issue_id; comment:9e4e80ce-500f-4a4e-ac33-7879a8ae47fe@revision:1(issue:ee6cec07-52eb-4623-9408-0a853119035e)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-29,1,2026-09-14T19:58:39.8473173-07:00,9e4e80ce-500f-4a4e-ac33-7879a8ae47fe=2026-09-14T19:58:36.8163267-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
376eef6d-5a19-42f3-993a-ae56d3e7380f,TES-56,文档检查,none (PM reported),none,待确认：文档审计,通用七天文档审计描述；评论扫描为空，未定位目标仓库。done 不能证明审计执行完成。,low,outside_project_pending,pending_outside,done,done,1,2026-09-14T20:11:40-07:00,agent,990c4532-4637-4c47-9b8d-3b6859f128b0,none,multica issue get 376eef6d-5a19-42f3-993a-ae56d3e7380f --output json,"issue:376eef6d-5a19-42f3-993a-ae56d3e7380f@revision:1#title,description,parent_issue_id",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-56,1,2026-09-14T19:58:39.8473173-07:00,not applicable,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
7c344e0a-abe7-4792-8b4b-dcb629e969f8,TES-76,列出system os version,none (PM reported),none,待确认：通用系统查询,标题与结果仅支持工具主机 OS 查询；未定位 Multica 产品/运行时工作目的。,low,outside_project_pending,pending_outside,done,done,1,2026-09-14T20:11:40-07:00,agent,fe701c5e-112f-4ef9-a3ce-50dae9df5170,none,multica issue get 7c344e0a-abe7-4792-8b4b-dcb629e969f8 --output json,"issue:7c344e0a-abe7-4792-8b4b-dcb629e969f8@revision:1#title,description,parent_issue_id; comment:636fc789-95da-4efa-af61-e40239026f1d@revision:1(issue:7c344e0a-abe7-4792-8b4b-dcb629e969f8)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-76,1,2026-09-14T19:58:39.8473173-07:00,636fc789-95da-4efa-af61-e40239026f1d=2026-09-14T19:58:38.4839830-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
1482d134-5b71-4011-8f29-02cb03b8a2fb,TES-78,列出system os version - 5090,none (PM reported),none,待确认：通用系统查询,标题与结果仅支持 5090 工具主机 OS 查询；未定位 Multica 产品/运行时工作目的。,low,outside_project_pending,pending_outside,done,done,1,2026-09-14T20:11:40-07:00,agent,967da339-88a5-4e83-b757-e6f11207aeff,none,multica issue get 1482d134-5b71-4011-8f29-02cb03b8a2fb --output json,"issue:1482d134-5b71-4011-8f29-02cb03b8a2fb@revision:1#title,description,parent_issue_id; comment:568c2e45-187e-4bc3-b7a5-3ba89174b6a5@revision:1(issue:1482d134-5b71-4011-8f29-02cb03b8a2fb)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-78,1,2026-09-14T19:58:39.8473173-07:00,568c2e45-187e-4bc3-b7a5-3ba89174b6a5=2026-09-14T19:58:38.6547225-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
e8c9b616-38c0-4ee3-b991-ce6110913515,TES-90,acpui clone verification,none (PM reported),none,待确认：外部仓库流水线,描述只要求克隆 acp-ui-fs；评论仅说明协调者不能实施。缺少该次运行服务于 Multica 功能/运行时工作的明确目的。,low,outside_project_pending,pending_outside,done,done,4,2026-09-14T20:11:40-07:00,none,none,none,multica issue get e8c9b616-38c0-4ee3-b991-ce6110913515 --output json,"issue:e8c9b616-38c0-4ee3-b991-ce6110913515@revision:4#title,description,parent_issue_id; comment:01a09ffd-e9dc-7ad4-bffb-a2555c473a14@revision:1(issue:e8c9b616-38c0-4ee3-b991-ce6110913515)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-90,4,2026-09-14T19:58:39.8473173-07:00,01a09ffd-e9dc-7ad4-bffb-a2555c473a14=2026-09-14T19:58:38.7391075-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
c5b780ab-3f18-4078-a748-b7dd4228e985,TES-91,Repository pipeline,none (PM reported),none,待确认：外部仓库流水线,脚本结果为 Settings/acp-ui-fs 运行且报 npm EALLOWREMOTE；尚未定位此次外部仓库作业与 Multica 项目工作的关联，失败本身不决定归属。,low,outside_project_pending,pending_outside,todo,todo,4,2026-09-14T20:11:40-07:00,none,none,none,multica issue get c5b780ab-3f18-4078-a748-b7dd4228e985 --output json,"issue:c5b780ab-3f18-4078-a748-b7dd4228e985@revision:4#title,description,parent_issue_id; comment:01a0a000-3ae6-73df-971b-051f2432fa48@revision:1(issue:c5b780ab-3f18-4078-a748-b7dd4228e985)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-91,4,2026-09-14T19:58:39.8473173-07:00,01a0a000-3ae6-73df-971b-051f2432fa48=2026-09-14T19:58:38.8228480-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
9c9b446f-0e94-45b3-bf17-b8eaa9c97e3b,TES-92,Repository pipeline,none (PM reported),none,待确认：外部仓库流水线,描述为 clone/build/run，结果记录 Settings/acp-ui-fs 脚本；缺少平台相关目的证据，不以缺正式验收身份为由排除。,low,outside_project_pending,pending_outside,done,done,4,2026-09-14T20:11:40-07:00,none,none,none,multica issue get 9c9b446f-0e94-45b3-bf17-b8eaa9c97e3b --output json,"issue:9c9b446f-0e94-45b3-bf17-b8eaa9c97e3b@revision:4#title,description,parent_issue_id; comment:01a0a006-b98b-7e55-97b5-bba0660307dd@revision:1(issue:9c9b446f-0e94-45b3-bf17-b8eaa9c97e3b)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-92,4,2026-09-14T19:58:39.8473173-07:00,01a0a006-b98b-7e55-97b5-bba0660307dd=2026-09-14T19:58:38.9073137-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
6170ecfa-4981-450b-a91f-eba0ae6c504b,TES-94,Repository pipeline,none (PM reported),none,待确认：外部仓库流水线,结果为 Settings/acp-ui-fs 构建且 Tauri 版本不匹配；尚未定位该次作业与 Multica 项目工作的关联。,low,outside_project_pending,pending_outside,todo,todo,4,2026-09-14T20:11:40-07:00,none,none,none,multica issue get 6170ecfa-4981-450b-a91f-eba0ae6c504b --output json,"issue:6170ecfa-4981-450b-a91f-eba0ae6c504b@revision:4#title,description,parent_issue_id; comment:01a0a00e-5ee8-74ff-b350-cac61afe4dbb@revision:1(issue:6170ecfa-4981-450b-a91f-eba0ae6c504b)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-94,4,2026-09-14T19:58:39.8473173-07:00,01a0a00e-5ee8-74ff-b350-cac61afe4dbb=2026-09-14T19:58:39.0731221-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
86f67d51-2cf5-4491-adfd-8a2a71ec742d,TES-95,Repository pipeline,none (PM reported),none,待确认：外部仓库流水线,结果为 Settings/acp-ui-fs 脚本运行；尚缺该次作业的 Multica 产品或运行时目的。,low,outside_project_pending,pending_outside,done,done,4,2026-09-14T20:11:40-07:00,none,none,none,multica issue get 86f67d51-2cf5-4491-adfd-8a2a71ec742d --output json,"issue:86f67d51-2cf5-4491-adfd-8a2a71ec742d@revision:4#title,description,parent_issue_id; comment:01a0a019-a566-7b81-ba85-2c89c812dc95@revision:1(issue:86f67d51-2cf5-4491-adfd-8a2a71ec742d)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-95,4,2026-09-14T19:58:39.8473173-07:00,01a0a019-a566-7b81-ba85-2c89c812dc95=2026-09-14T19:58:39.1626781-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
58261be1-ebc7-4909-8992-77031436201b,TES-96,Repository pipeline,none (PM reported),none,待确认：外部仓库流水线,结果为 Settings/acp-ui-fs 脚本运行；尚缺该次作业的 Multica 产品或运行时目的。,low,outside_project_pending,pending_outside,done,done,4,2026-09-14T20:11:40-07:00,none,none,none,multica issue get 58261be1-ebc7-4909-8992-77031436201b --output json,"issue:58261be1-ebc7-4909-8992-77031436201b@revision:4#title,description,parent_issue_id; comment:01a0a01b-b64f-74b8-9c95-0eda6661a4b5@revision:1(issue:58261be1-ebc7-4909-8992-77031436201b)",TES-103 comment 01a0a305-2c10-76f4-9cf7-0b00f6ecabd2 revision 1; attachment 01a0a305-2bf7-7456-869a-d2d5e6159d55; row TES-96,4,2026-09-14T19:58:39.8473173-07:00,01a0a01b-b64f-74b8-9c95-0eda6661a4b5=2026-09-14T19:58:39.2451589-07:00,pending,none (PM reported),none (PM reported),TES-103 comment 01a0a2ea-c86b-7364-b283-6e9b022a4cf3 revision 1; attachment 01a0a2ea-c858-72cd-b2f3-8925d4b92b38,unknown_not_recorded,unknown_not_recorded,unavailable_original_report_only,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
